Device EUI/Group,Gateway ID,Frequency,Datarate,RSSI/SNR,Size,Fcnt,Type,Time,Details
24E124710E317752,24E124FFFEFAB29D,471900000,SF7BW125, -22/14.8,37,21,UpUnc,2026-07-10T16:48:11+08:00,"Dev Addr/Multicast Addr: 075a96e3
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124710E317752
Class Type: Class C
Immediately: -
Timestamp: 115387382
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 21
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 14.8
RSSI: -22
Power: -
Payload(b64): A2f/AARoZwUAAQbLAgd9EwQI5hAACXPtJgp9AAALfRAADH0RAA==
Payload(hex): 0367ff0004686705000106cb02077d130408e610000973ed260a7d00000b7d10000c7d1100
JSON: {""co2"":1043,""hcho"":0,""humidity"":51.5,""light_level"":2,""pir"":1,""pm10"":17,""pm2_5"":16,""pressure"":996.5,""temperature"":25.5,""tvoc"":16}
MIC: 5bdea3e6"
24E124710E317752,24E124FFFEFAB29D,472100000,SF7BW125, -22/13.2,37,20,UpUnc,2026-07-10T16:47:11+08:00,"Dev Addr/Multicast Addr: 075a96e3
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124710E317752
Class Type: Class C
Immediately: -
Timestamp: 55385429
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 20
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.2
RSSI: -22
Power: -
Payload(b64): A2f+AARoZwUAAQbLAwd9FwQI5hAACXPtJgp9AAALfRUADH0VAA==
Payload(hex): 0367fe0004686705000106cb03077d170408e610000973ed260a7d00000b7d15000c7d1500
JSON: {""co2"":1047,""hcho"":0,""humidity"":51.5,""light_level"":3,""pir"":1,""pm10"":21,""pm2_5"":21,""pressure"":996.5,""temperature"":25.4,""tvoc"":16}
MIC: 91658163"
24E124710E317752,24E124FFFEFAB29D,472700000,SF7BW125, -25/13.8,37,19,UpUnc,2026-07-10T16:46:11+08:00,"Dev Addr/Multicast Addr: 075a96e3
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124710E317752
Class Type: Class C
Immediately: -
Timestamp: 4290351577
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 19
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.8
RSSI: -25
Power: -
Payload(b64): A2f/AARoZwUAAQbLAwd9LAQI5g8ACXPtJgp9AAALfRUADH0VAA==
Payload(hex): 0367ff0004686705000106cb03077d2c0408e60f000973ed260a7d00000b7d15000c7d1500
JSON: {""co2"":1068,""hcho"":0,""humidity"":51.5,""light_level"":3,""pir"":1,""pm10"":21,""pm2_5"":21,""pressure"":996.5,""temperature"":25.5,""tvoc"":15}
MIC: 52cccec2"
24E124710E317752,24E124FFFEFAB29D,473300000,SF7BW125, -24/14.0,37,17,UpUnc,2026-07-10T16:44:11+08:00,"Dev Addr/Multicast Addr: 075a96e3
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124710E317752
Class Type: Class C
Immediately: -
Timestamp: 4170363588
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 17
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 14.0
RSSI: -24
Power: -
Payload(b64): A2f/AARoZgUAAQbLAwd9NwQI5hMACXPtJgp9AAALfRIADH0SAA==
Payload(hex): 0367ff0004686605000106cb03077d370408e613000973ed260a7d00000b7d12000c7d1200
JSON: {""co2"":1079,""hcho"":0,""humidity"":51,""light_level"":3,""pir"":1,""pm10"":18,""pm2_5"":18,""pressure"":996.5,""temperature"":25.5,""tvoc"":19}
MIC: 67a1cf40"
24E124710E317752,24E124FFFEFAB29D,472500000,SF7BW125, -38/5.2,37,15,UpUnc,2026-07-10T16:42:11+08:00,"Dev Addr/Multicast Addr: 075a96e3
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124710E317752
Class Type: Class C
Immediately: -
Timestamp: 4050359396
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 15
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 5.2
RSSI: -38
Power: -
Payload(b64): A2f/AARoZAUAAQbLAwd9SwQI5hUACXPtJgp9AAALfRIADH0SAA==
Payload(hex): 0367ff0004686405000106cb03077d4b0408e615000973ed260a7d00000b7d12000c7d1200
JSON: {""co2"":1099,""hcho"":0,""humidity"":50,""light_level"":3,""pir"":1,""pm10"":18,""pm2_5"":18,""pressure"":996.5,""temperature"":25.5,""tvoc"":21}
MIC: 20cdcc00"
24E124710E317752,24E124FFFEFAB29D,472900000,SF7BW125, -37/2.5,37,14,UpUnc,2026-07-10T16:41:11+08:00,"Dev Addr/Multicast Addr: 075a96e3
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124710E317752
Class Type: Class C
Immediately: -
Timestamp: 3990359388
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 14
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 2.5
RSSI: -37
Power: -
Payload(b64): A2f/AARoYwUAAQbLAwd9WQQI5hIACXPtJgp9AAALfRAADH0QAA==
Payload(hex): 0367ff0004686305000106cb03077d590408e612000973ed260a7d00000b7d10000c7d1000
JSON: {""co2"":1113,""hcho"":0,""humidity"":49.5,""light_level"":3,""pir"":1,""pm10"":16,""pm2_5"":16,""pressure"":996.5,""temperature"":25.5,""tvoc"":18}
MIC: 08a7ce7d"
24E124710E317752,24E124FFFEFAB29D,471900000,SF7BW125, -35/13.0,37,13,UpUnc,2026-07-10T16:40:11+08:00,"Dev Addr/Multicast Addr: 075a96e3
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124710E317752
Class Type: Class C
Immediately: -
Timestamp: 3930355432
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 13
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.0
RSSI: -35
Power: -
Payload(b64): A2cAAQRoYgUAAQbLAwd9aQQI5hQACXPtJgp9AAALfRAADH0QAA==
Payload(hex): 0367000104686205000106cb03077d690408e614000973ed260a7d00000b7d10000c7d1000
JSON: {""co2"":1129,""hcho"":0,""humidity"":49,""light_level"":3,""pir"":1,""pm10"":16,""pm2_5"":16,""pressure"":996.5,""temperature"":25.6,""tvoc"":20}
MIC: 30416252"
24E124710E317752,24E124FFFEFAB29D,472300000,SF7BW125, -32/11.2,37,12,UpUnc,2026-07-10T16:39:11+08:00,"Dev Addr/Multicast Addr: 075a96e3
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124710E317752
Class Type: Class C
Immediately: -
Timestamp: 3870354257
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 12
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 11.2
RSSI: -32
Power: -
Payload(b64): A2cBAQRoYgUAAQbLAwd9pAQI5g8ACXPtJgp9AAALfRAADH0QAA==
Payload(hex): 0367010104686205000106cb03077da40408e60f000973ed260a7d00000b7d10000c7d1000
JSON: {""co2"":1188,""hcho"":0,""humidity"":49,""light_level"":3,""pir"":1,""pm10"":16,""pm2_5"":16,""pressure"":996.5,""temperature"":25.7,""tvoc"":15}
MIC: a030e7c0"
24E124710E317752,24E124FFFEFAB29D,472900000,SF7BW125, -18/12.0,37,10,UpUnc,2026-07-10T16:37:11+08:00,"Dev Addr/Multicast Addr: 075a96e3
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124710E317752
Class Type: Class C
Immediately: -
Timestamp: 3750352205
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 10
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 12.0
RSSI: -18
Power: -
Payload(b64): A2f/AARoYgUAAQbLAwd9yQQI5hIACXPtJgp9AAALfQ8ADH0PAA==
Payload(hex): 0367ff0004686205000106cb03077dc90408e612000973ed260a7d00000b7d0f000c7d0f00
JSON: {""co2"":1225,""hcho"":0,""humidity"":49,""light_level"":3,""pir"":1,""pm10"":15,""pm2_5"":15,""pressure"":996.5,""temperature"":25.5,""tvoc"":18}
MIC: f61eee1c"
24E124710E317752,24E124FFFEFAB29D,471900000,SF7BW125, -28/13.2,37,9,UpUnc,2026-07-10T16:36:11+08:00,"Dev Addr/Multicast Addr: 075a96e3
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124710E317752
Class Type: Class C
Immediately: -
Timestamp: 3690356139
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 9
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.2
RSSI: -28
Power: -
Payload(b64): A2f/AARoYQUAAQbLAwd9zQQI5g8ACXPtJgp9AAALfQ8ADH0PAA==
Payload(hex): 0367ff0004686105000106cb03077dcd0408e60f000973ed260a7d00000b7d0f000c7d0f00
JSON: {""co2"":1229,""hcho"":0,""humidity"":48.5,""light_level"":3,""pir"":1,""pm10"":15,""pm2_5"":15,""pressure"":996.5,""temperature"":25.5,""tvoc"":15}
MIC: 0721790b"
