Device EUI/Group,Gateway ID,Frequency,Datarate,RSSI/SNR,Size,Fcnt,Type,Time,Details
24E124746E228250,24E124FFFEFAB29D,472500000,SF7BW125, -71/12.5,14,35,UpUnc,2026-07-15T15:44:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 3850402568
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 35
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 12.5
RSSI: -71
Power: -
Payload(b64): A5cWAQAABJg6AAln//8=
Payload(hex): 03971601000004983a000967ffff
JSON: {""current"":0.58,""temperature_sensor_status"":2,""total_current"":2.78}
MIC: d342b72d"
24E124746E228250,24E124FFFEFAB29D,472500000,SF7BW125, -66/13.0,14,34,UpUnc,2026-07-15T15:43:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 3790398402
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 34
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.0
RSSI: -66
Power: -
Payload(b64): A5cVAQAABJhQAAln//8=
Payload(hex): 039715010000049850000967ffff
JSON: {""current"":0.8,""temperature_sensor_status"":2,""total_current"":2.77}
MIC: be292c75"
24E124746E228250,24E124FFFEFAB29D,473100000,SF7BW125, -66/13.2,14,33,UpUnc,2026-07-15T15:42:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 3730396257
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 33
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.2
RSSI: -66
Power: -
Payload(b64): A5cUAQAABJhVAAln//8=
Payload(hex): 039714010000049855000967ffff
JSON: {""current"":0.85,""temperature_sensor_status"":2,""total_current"":2.76}
MIC: 5bea3d4e"
24E124746E228250,24E124FFFEFAB29D,472700000,SF7BW125, -66/13.0,14,32,UpUnc,2026-07-15T15:41:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 3670399707
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 32
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.0
RSSI: -66
Power: -
Payload(b64): A5cTAQAABJhPAAln//8=
Payload(hex): 03971301000004984f000967ffff
JSON: {""current"":0.79,""temperature_sensor_status"":2,""total_current"":2.75}
MIC: 286fc43b"
24E124746E228250,24E124FFFEFAB29D,473300000,SF7BW125, -64/13.5,14,31,UpUnc,2026-07-15T15:40:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 3610401682
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 31
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.5
RSSI: -64
Power: -
Payload(b64): A5cRAQAABJhRAAln//8=
Payload(hex): 039711010000049851000967ffff
JSON: {""current"":0.81,""temperature_sensor_status"":2,""total_current"":2.73}
MIC: f4870af3"
24E124746E228250,24E124FFFEFAB29D,473300000,SF7BW125, -69/13.0,14,30,UpUnc,2026-07-15T15:39:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 3550399543
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 30
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.0
RSSI: -69
Power: -
Payload(b64): A5cQAQAABJhMAAln//8=
Payload(hex): 03971001000004984c000967ffff
JSON: {""current"":0.76,""temperature_sensor_status"":2,""total_current"":2.72}
MIC: 5a76a30b"
24E124746E228250,24E124FFFEFAB29D,472300000,SF7BW125, -62/11.5,14,29,UpUnc,2026-07-15T15:38:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 3490400761
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 29
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 11.5
RSSI: -62
Power: -
Payload(b64): A5cPAQAABJhJAAln//8=
Payload(hex): 03970f010000049849000967ffff
JSON: {""current"":0.73,""temperature_sensor_status"":2,""total_current"":2.71}
MIC: 053e9d49"
24E124746E228250,24E124FFFEFAB29D,471900000,SF7BW125, -75/11.2,14,28,UpUnc,2026-07-15T15:37:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 3430404118
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 28
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 11.2
RSSI: -75
Power: -
Payload(b64): A5cOAQAABJhPAAln//8=
Payload(hex): 03970e01000004984f000967ffff
JSON: {""current"":0.79,""temperature_sensor_status"":2,""total_current"":2.7}
MIC: 4d7133f2"
24E124746E228250,24E124FFFEFAB29D,472700000,SF7BW125, -66/13.2,14,27,UpUnc,2026-07-15T15:36:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 3370401423
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 27
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.2
RSSI: -66
Power: -
Payload(b64): A5cMAQAABJhOAAln//8=
Payload(hex): 03970c01000004984e000967ffff
JSON: {""current"":0.78,""temperature_sensor_status"":2,""total_current"":2.68}
MIC: e6c3d36a"
24E124746E228250,24E124FFFEFAB29D,502300000,SF7BW125, -/-,0,6,DnUnc,2026-07-15T15:36:00+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: false
Timestamp: 3311414650
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 6
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 20
Payload(b64): 
Payload(hex): 
JSON: 
MIC: c4601415"
